# chl_car	water	dry_albino	lignin_cellulose	protein
0	1.08E-04	0	6.24E-05	0.000924
0	9.95E-05	0	6.47E-05	0.000899
0	9.42E-05	0	6.65E-05	0.00087
0	9.02E-05	0	6.77E-05	0.000846
0	8.72E-05	0	6.89E-05	0.000851
0	8.26E-05	0	7.07E-05	0.000841
0	7.89E-05	0	7.13E-05	0.000841
0	7.65E-05	0	7.19E-05	0.000851
0	7.29E-05	0	7.25E-05	0.000846
0	7.01E-05	0	7.25E-05	0.00086
0	6.76E-05	0	7.25E-05	0.000865
0	6.50E-05	0	7.25E-05	0.00086
0	6.33E-05	0	7.25E-05	0.00088
0	6.15E-05	0	7.19E-05	0.000894
0	5.90E-05	0	7.19E-05	0.000919
0	5.76E-05	0	7.07E-05	0.000948
0	5.66E-05	0	7.07E-05	0.000996
0	5.51E-05	0	6.95E-05	0.001021
0	5.36E-05	0	6.83E-05	0.00105
0	5.28E-05	0	6.71E-05	0.001074
0	5.21E-05	0	6.59E-05	0.001099
0	5.15E-05	0	6.53E-05	0.001118
0	5.12E-05	0	6.36E-05	0.001123
0	5.02E-05	0	6.30E-05	0.001118
0	4.99E-05	0	6.18E-05	0.001094
0	4.93E-05	0	6.06E-05	0.001089
0	4.89E-05	0	6.00E-05	0.001084
0	4.87E-05	0	5.87E-05	0.001064
0	4.87E-05	0	5.80E-05	0.00106
0	4.82E-05	0	5.75E-05	0.00103
0	4.83E-05	0	5.69E-05	0.001011
0	4.78E-05	0	5.74E-05	0.000977
0	4.82E-05	0	5.88E-05	0.000962
0	4.82E-05	0	6.06E-05	0.000943
0	4.83E-05	0	6.30E-05	0.000958
0	4.87E-05	0	6.65E-05	0.000982
0	4.96E-05	0	7.01E-05	0.001026
0	4.99E-05	0	7.42E-05	0.001084
0	5.03E-05	0	7.90E-05	0.001152
0	5.08E-05	0	8.32E-05	0.001225
0	5.16E-05	0	8.67E-05	0.001293
0	5.22E-05	0	8.97E-05	0.001376
0	5.36E-05	0	9.15E-05	0.001424
0	5.49E-05	0	9.32E-05	0.001468
0	5.62E-05	0	9.44E-05	0.001521
0	5.79E-05	0	9.74E-05	0.001565
0	5.85E-05	0	1.00E-04	0.001589
0	5.98E-05	0	1.02E-04	0.001609
